Products Collection ID,Product ID,Variants Collection ID,Variant ID,Product Handle,Product Name,Product Type,Product Description,Product Categories,Main Variant Image,More Variant Images,Variant Price,Variant Compare-at Price,Product Tax Class,Variant Sku,Variant Inventory,Requires Shipping,Variant Weight,Variant Width,Variant Height,Variant Length,Variant Download Name,Variant Download URL,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Created On,Updated On,Published On
648417e68dbd81f6440c3946,69510252a016a634006edeae,648417e68dbd81f6440c3945,69510254748d65f9523c481e,air-max-tn-custom-bmw-m,BMW Air Max TN Triple Black Custom ,Physical,,Sneakers,https://cdn.prod.website-files.com/648417e68dbd81f6440c3944/69510111071292cdd82d11dc_bmw%20tn%202.jpg,,€240.00,€330.00,standard-taxable,,,true,,,,,,,Chooze Size,37.5 EU | 6.5 US,,,,,Sun Dec 28 2025 10:11:30 GMT+0000 (Coordinated Universal Time),Tue Feb 03 2026 18:19:41 GMT+0000 (Coordinated Universal Time),
648417e68dbd81f6440c3946,69510252a016a634006edeae,648417e68dbd81f6440c3945,69510254748d65f9523c480c,air-max-tn-custom-bmw-m,BMW Air Max TN Triple Black Custom ,Physical,,Sneakers,https://cdn.prod.website-files.com/648417e68dbd81f6440c3944/69510111071292cdd82d11dc_bmw%20tn%202.jpg,,€240.00,€330.00,standard-taxable,,,true,,,,,,,Chooze Size,44 EU   | 10 US,,,,,Sun Dec 28 2025 10:11:30 GMT+0000 (Coordinated Universal Time),Tue Feb 03 2026 18:19:41 GMT+0000 (Coordinated Universal Time),
648417e68dbd81f6440c3946,69510252a016a634006edeae,648417e68dbd81f6440c3945,69510254748d65f9523c47de,air-max-tn-custom-bmw-m,BMW Air Max TN Triple Black Custom ,Physical,,Sneakers,https://cdn.prod.website-files.com/648417e68dbd81f6440c3944/69510111071292cdd82d11dc_bmw%20tn%202.jpg,,€240.00,€330.00,standard-taxable,,,true,,,,,,,Chooze Size,38 EU   | 7 US,,,,,Sun Dec 28 2025 10:11:30 GMT+0000 (Coordinated Universal Time),Tue Feb 03 2026 18:19:41 GMT+0000 (Coordinated Universal Time),
648417e68dbd81f6440c3946,69510252a016a634006edeae,648417e68dbd81f6440c3945,69510254748d65f9523c47ba,air-max-tn-custom-bmw-m,BMW Air Max TN Triple Black Custom ,Physical,,Sneakers,https://cdn.prod.website-files.com/648417e68dbd81f6440c3944/69510111071292cdd82d11dc_bmw%20tn%202.jpg,,€240.00,€330.00,standard-taxable,,,true,,,,,,,Chooze Size,41 EU   | 8 US,,,,,Sun Dec 28 2025 10:11:30 GMT+0000 (Coordinated Universal Time),Tue Feb 03 2026 18:19:41 GMT+0000 (Coordinated Universal Time),
648417e68dbd81f6440c3946,69510252a016a634006edeae,648417e68dbd81f6440c3945,69510254748d65f9523c47ac,air-max-tn-custom-bmw-m,BMW Air Max TN Triple Black Custom ,Physical,,Sneakers,https://cdn.prod.website-files.com/648417e68dbd81f6440c3944/69510111071292cdd82d11dc_bmw%20tn%202.jpg,,€240.00,€330.00,standard-taxable,,,true,,,,,,,Chooze Size,38.5 EU | 7.5 US,,,,,Sun Dec 28 2025 10:11:30 GMT+0000 (Coordinated Universal Time),Tue Feb 03 2026 18:19:41 GMT+0000 (Coordinated Universal Time),
648417e68dbd81f6440c3946,69510252a016a634006edeae,648417e68dbd81f6440c3945,69510254748d65f9523c477a,air-max-tn-custom-bmw-m,BMW Air Max TN Triple Black Custom ,Physical,,Sneakers,https://cdn.prod.website-files.com/648417e68dbd81f6440c3944/69510111071292cdd82d11dc_bmw%20tn%202.jpg,,€240.00,€330.00,standard-taxable,,,true,,,,,,,Chooze Size,42.5 EU | 9 US,,,,,Sun Dec 28 2025 10:11:30 GMT+0000 (Coordinated Universal Time),Tue Feb 03 2026 18:19:41 GMT+0000 (Coordinated Universal Time),
648417e68dbd81f6440c3946,69510252a016a634006edeae,648417e68dbd81f6440c3945,69510254748d65f9523c475e,air-max-tn-custom-bmw-m,BMW Air Max TN Triple Black Custom ,Physical,,Sneakers,https://cdn.prod.website-files.com/648417e68dbd81f6440c3944/69510111071292cdd82d11dc_bmw%20tn%202.jpg,,€240.00,€330.00,standard-taxable,,,true,,,,,,,Chooze Size,39 EU   | 8 US,,,,,Sun Dec 28 2025 10:11:30 GMT+0000 (Coordinated Universal Time),Tue Feb 03 2026 18:19:41 GMT+0000 (Coordinated Universal Time),
648417e68dbd81f6440c3946,69510252a016a634006edeae,648417e68dbd81f6440c3945,69510254748d65f9523c473a,air-max-tn-custom-bmw-m,BMW Air Max TN Triple Black Custom ,Physical,,Sneakers,https://cdn.prod.website-files.com/648417e68dbd81f6440c3944/69510111071292cdd82d11dc_bmw%20tn%202.jpg,,€240.00,€330.00,standard-taxable,,,true,,,,,,,Chooze Size,45.5 EU | 11.5 US,,,,,Sun Dec 28 2025 10:11:30 GMT+0000 (Coordinated Universal Time),Tue Feb 03 2026 18:19:41 GMT+0000 (Coordinated Universal Time),
648417e68dbd81f6440c3946,69510252a016a634006edeae,648417e68dbd81f6440c3945,69510253748d65f9523c4724,air-max-tn-custom-bmw-m,BMW Air Max TN Triple Black Custom ,Physical,,Sneakers,https://cdn.prod.website-files.com/648417e68dbd81f6440c3944/69510111071292cdd82d11dc_bmw%20tn%202.jpg,,€240.00,€330.00,standard-taxable,,,true,,,,,,,Chooze Size,36.5 EU | 6 US,,,,,Sun Dec 28 2025 10:11:30 GMT+0000 (Coordinated Universal Time),Tue Feb 03 2026 18:19:41 GMT+0000 (Coordinated Universal Time),
648417e68dbd81f6440c3946,69510252a016a634006edeae,648417e68dbd81f6440c3945,69510253748d65f9523c4708,air-max-tn-custom-bmw-m,BMW Air Max TN Triple Black Custom ,Physical,,Sneakers,https://cdn.prod.website-files.com/648417e68dbd81f6440c3944/69510111071292cdd82d11dc_bmw%20tn%202.jpg,,€240.00,€330.00,standard-taxable,,,true,,,,,,,Chooze Size,44.5 EU | 10.5 US,,,,,Sun Dec 28 2025 10:11:30 GMT+0000 (Coordinated Universal Time),Tue Feb 03 2026 18:19:41 GMT+0000 (Coordinated Universal Time),
